date_time,predicted_total
2025-05-10,31278.040416721473
2025-05-11,31314.238182196965
2025-05-12,31657.534492509738
2025-05-13,31719.35361821109
2025-05-14,31302.118716147073
2025-05-15,31000.34914905825
2025-05-16,31093.753908229883
2025-05-17,31204.47895279885
2025-05-18,31265.56917408903
2025-05-19,31277.02905904663
2025-05-20,31229.011555527813
2025-05-21,31165.803719975684
2025-05-22,31197.89435924145
2025-05-23,31219.458174013173
2025-05-24,31191.038529785896
2025-05-25,31193.457218138275
2025-05-26,31198.051178011352
2025-05-27,31200.646203349632
2025-05-28,31199.885890315014
2025-05-29,31198.385679851017
2025-05-30,31197.947080859372
2025-05-31,31198.10075876693
